premise	hypothesis	premise_atomic	hypothesis_atomic	label
Suho in toplo spomladansko vreme je bilo kot nalašč za razvoj škodljivcev.	Obilica padavin in hladne temperature spomladi so bile zelo primerne za razvoj škodljivcev.	vreme toplo in udobno.	PersonX je zunaj zelo vroče za hladno pijačo	contradiction
Gostujoče Gledališče Koper nam je sporočil, da zaradi bolezni v ansamblu odpovedujejo predstavi Gospa ministrica za abonma Baron in izven (nedelja 14.6.) ter abonma Matiček in izven (ponedeljek 15.6.).	Veseloigra Gospa ministrica, ki jo pripravljajo igralci amaterskega Gledališča Koper, bo odigrana v nadomestnem terminu zaradi zdravstvenih težav, ki so se pojavile med izvajalci.	Gledališče žalostno, da so bili bolni in niso mogli iti	PersonX si vzame nekaj časa da bi skrbel za svojo bolno mater.	neutral
Na vozilih je za 12.000 evrov škode, postopek zoper 53-letnega voznika pa sledi.	Voznika, ki je povzročil nesrečo, še iščejo.	postopek požene motor evrov ugotoviti, kaj je narobe z avtomobilom.	osebek povozi avto voznik je aretiran.	contradiction
Živi v listnatih gozdovih, lokah, parkih in na vrtovih predvsem pod lubjem listavcev, včasih tudi borovcev, kjer se hrani z ličinkami podlubnikov.	Prebiva v gozdnih sestavah listavcev, lokah, mestnih zelenih površinah in vrtovih, pod odmrlo drevesno skorjo, tudi borovo, prehranjuje pa se s podlubnikovimi ličinkami.	osebek živi na območju ličinkami (morda) srečen	borovo sliši besede ličinkami odgovarja	entailment
Bolniški dopust je posledica začasne nezmožnosti za delo zaradi bolezni, poškodb, nege in drugih vzrokov.	Na bolniško se odide, če trenutno ne moremo delati zaradi bolezni, poškodbe, oskrbe ali iz kakega drugega razloga.	dopust vzame bolniški dopust delo	osebek odpelje da se zdravijo zaradi bolezni ali poškodbe, zaradi katere jih je osebek pripeljala v bolnišnico. v bolnišnico	entailment
Odpre se novo okno, kamor vnesete ime novega makra.	Spletna stran vam bo odprla možnost vnosa novonastalega makra.	osebek odpre nov bančni račun vplača depozit.	PersonX ponuja novo delovno mesto napisati opis delovnega mesta.	entailment
Docela me je prevzel strah za gospo Šolman-Tratnikovo.	Bil sem v velikih skrbeh za gospo.	strah postane zelo jezna Strah ljudi	osebek izrazite zaskrbljenost materi.	entailment
Vdova, ki ima poleg pravice do vdovske tudi pravico do starostne ali invalidske pokojnine, lahko uživa pokojnino, ki si jo sama izbere.	Žena, ki izpolnjuje ustrezne kriterije, se lahko po moževi smrti sama odloči, ali bo prejemala vdovsko, starostno ali invalidsko penzijo.	Vdova živi s sestro sama lahko prihrani denar, medtem ko se morda šola ali okreva po življenjskih težavah.	Žena vrže sama iz hiše se morajo odločiti, ali želijo najti drugega sostanovalca ali živeti sami.	entailment
»Da, to je Marija!« so vzklikali ljudje.	Publika je osebo prepoznala kot Marijo.	ljudje vidi ljudi nasmeh	Publika ljudje prepoznajo Publika v javnosti	entailment
“Dvakrat, trikrat na leto se zberemo na kosilu ali pri kom doma.	Nekajkrat letno se dobimo, bodisi kar doma, bodisi pa kje zunaj na kosilu.	osebek gre za en dan domov jesti večerjo	osebek se več let videva z predmet redno hodita na skupne počitnice.	entailment
Vprašalnik so preizkušale svetovalne delavke, članice odbora za pripravo posveta, ki je bil v ta namen organiziran.	Vprašalnik bi morale preveriti članice v ta namen organiziranega odbora za pripravo posveta, vendar tega niso opravile.	delavke se udeleži srečanja namen da preizkusijo stvari, o katerih so izvedeli na srečanju.	članice se udeleži srečanja namen da preizkusijo stvari, o katerih so izvedeli na srečanju.	contradiction
Sicer mi ne bodo verjeli, da sem bil v podzemlju.«	“Ne bodo si mogli misliti, da sem bil res pod zemljo.“	osebek nikoli več ne vidijo da ostanejo skriti.	PersonX se počuti kot idiot Ne morem razmišljati naravnost	entailment
Iz zapisanega je mogoče sklepati, da se v tem primeru nadzor s pomočjo GPS ne bi nanašal na konkretno osebo oziroma osebe, pač pa le na kraj izvajanja meritve.	Namen takšnega geografskega nadzora torej naj ne bi bil spremljanje zaposlenih (izvajalcev) na splošno, pač pa zgolj spremljanje poteka meritev na posameznem kraju.	nadzor ne ve, kam naj gre preverjanje GPS	spremljanje spremlja opazovati nekoga	entailment
Če našteti ukrepi ne zaležejo, je treba obiskati zdravnika.	Če ti ukrepi ne pomagajo, pomeni, da je narobe nekaj drugega, več bo o tem vedel vaš osebni zdravnik, ki vam lahko predpiše zdravila.	ukrepi postane zdrava se posvetujte z zdravnikom.	PersonX se počuti še slabše pojdite k zdravniku	neutral
Strah me je bilo pomisliti, kaj vse bi se lahko zgodilo.	Misli so begale med dejanskim dogajanjem in predstavam.	kaj čuti strah pogleda, kaj bi lahko bilo.	Misli razlikuje misli od resničnosti	neutral
»Te ocene vendar!« je skoraj zahlipala Lucija Lupinc.	“Te ocene mislim!“ je veselo vzkliknila Lucija Lupinc.	PersonX ima oboje vse to	PersonX meni, da je bilo okusno razmisliti o tem.	contradiction
Za volitve poslancev italijanske oziroma madžarske narodne skupnosti se na območjih, kjer ti skupnosti živita, oblikujeta posebni volilni enoti.	V Sloveniji narodna skupnost Italijanov in narodna skupnost Madžarov nimata te pravice, da bi volili poslance svoje narodnosti, zato tudi v teh predelih slovenskega ozemlja ni posebnih volilnih enot.	enoti razdeli prebivalci pišejo zakonodajalcem na okrožja	enot nimate telefona	contradiction
Sama sem si bila kriva; kaj pa sem se pustila prepričati v to traparijo.	Očitala sem si, da za posledice storjene neumnosti krivdo nosim sama.	Sama odreka se opravičujem, ker sem to storil. pravico	osebek odreka se opravičujem, ker sem to storil. pravico	neutral
Moški se za začetek nasloni na steno in partnerko dvigne v naročje, tako da ji zadnjico podpre z dlanmi, oziroma jo drži za stegna.	Eden od partnerjev uporabi steno kot oporo pri dvigu druge osebe v naročje, tesno se je oprime in skrbi za to, da oseba ne pade iz položaja.	Moški položi roko stegna položiti roko na nogo osebe	oseba odvrne pogled položaja zaščititi drugo osebo, da nečesa ne bi videla.	neutral
V okviru cikla Mladi virtuozi prireja Festival Ljubljana v Stanovski dvorani ljubljanskega gradu drevi ob 19.30 recital mladih glasbenikov.	Organizatorji Festivala Ljubljana so se za letos odločili, da ne bodo sodelovali v ciklu Mladi virtuozi, zato recitala mladih glasbenikov na gradu ne bo.	virtuozi igra glasbeni instrument ustvari novo pesem.	recitala ne biti mrtev	contradiction
Ko so pečene, jih položimo na papir, da olje odteče.	Najprej jih pustimo na papirju, da odvečno olje steče dol, potem pa jih spečemo.	PersonX priliva olje na ogenj jih razjezite.	PersonX priliva olje na ogenj jih razjezite.	contradiction
»Mandlji ti slabijo imunski sistem!« je dejal zdravnik in napisal nekaj receptov.	Kljub zdravnikovi predpostavki, da imam slab imunski sistem zaradi mandljev, sem odšel domov praznih rok.	zdravnik sledi zdravnikovim navodilom izboljšati svoje zdravje.	osebek gre domov praznih rok družini povedal, da se je trudil po svojih najboljših močeh.	contradiction
Prednost pri izbiri bodo imeli kandidati z boljšim poznavanjem področja dela.	Pri obravnavi in izbiri ustreznega kadra se upošteva tudi seznanjenost z delom.	PersonX dobi boljše ocene dobro opraviti izpite.	PersonX potrebuje novo službo razmišlja o naboru znanj in spretnosti, ki jih ima.	neutral
b) se honorar izplača oz. ga izplačajo v imenu delodajal-ca, ki ni rezident druge države pogodbenice; in	b) enkratno plačilo je izplačano od v Sloveniji stanujočega službodajalca	honorar izplačuje imenu plačo ima zaposlenega	plačilo na kraju samem zaposli predmet porabi plačo	entailment
»Hvala bogu!« je vzkliknil Majk in globoko vzdihnil.	“O, ne!“ se je zadrl Majk na robu paničnega napada.	"Majk poviša plačo reče ""hvala"""	Majk ne želijo se bati	contradiction
To častitljivo obletnico so počastili s številnimi prireditvami in z izdajo obsežnega zbornika.	Visoka obletnica je bila počaščena z mnogimi dogodki, izdana je bila tudi obsežna publikacija.	osebek ima rojstnodnevno zabavo prireditvami velikodušno	publikacija priredi dogodki rojstnodnevno zabavo presenečenja kot je bil dogodek uspešen	entailment
(2) Izdanega radijskega dovoljenja ni mogoče prenesti ali odstopiti drugim.	Radijsko dovoljenje lahko uporablja le ena oseba.	osebek poveže se ne morejo premikati ali uporabljati rok. predmet	oseba lahko vozi dovoljenje	entailment
Pri tem pazimo, da ne škropimo v cvet, temveč le po listih in deblu rastlin.	Pri tem pazimo, da gnojila ne trosimo po cvetu rože, pač pa naokrog, kjer so listi in deblo.	osebek obreže drevo pospravite razrahljane veje in listje na tleh.	listi obreže drevo pospravite razrahljane veje in listje na tleh.	neutral
Predpisi o pokojninskem in invalidskem ter zdravstvenem in drugem socialnem zavarovanju, ki veljajo za osebe v delovnem razmerju, se uporabljajo tudi za sodnike, če ni z zakonom drugače določeno.	Za sodnike predpisi o pokojninskem, invalidskem, zdravstvenem in drugem socialnem zavarovanju niso veljavni, čeprav tako opredeljuje zakon.	Predpisi vidi druge ljudi normalno	Kadrovska zakonodaja ureja nič med državami.	contradiction
Še vedno se kažejo tudi težave zaradineenotnosti cenitev in izvedeniških mnenj.	Kljub nenehnemu opozarjanju so cenitve in mnenja izvedencev še vedno nepovezana, kar povzroča nemalo sitnosti.	težave je še vedno pomembna ohranjati svoje znanje in spretnosti.	kar je še vedno pomembna ohranjati svoje znanje in spretnosti.	neutral
Zato razpravo zaključujem in dajem amandma k 239. členu na glasovanje.	To diskusijo bomo končali in glasovali glede amandmaja k 239. členu.	osebek konča stavek predmet nadaljevati pogovor.	osebek prebere članek amandmaja razpravljajte o tem.	entailment
»Vam lahko pomagam čez?« je olikano rekel.	Spoštljivo je ponudil svojo pomoč pri prehodu.	osebek vpraša, ali lahko predmet pomaga. pomagati	osebek se s hvaležnostjo zahvaljuje za ponudili svojo pomoč. ponudili svojo pomoč.	entailment
Pomislil sem, da bi jo lahko ogovoril, če bi ostala.	Končno sem zbral pogum, da jo ogovorim, a ravno zdaj je odšla prej.	osebek meni, da bi lahko našla pomisliti, kje bi lahko bila.	osebek je končno našla predmet da osebek poveste, naj odide.	neutral
Trenutno nimamo podatkov na katerih področjih imajo bolnice z rakom dojke največ težav in kateri dejavniki najbolj vplivajo na njihovo kakovost življenja.	Rezultati študije nam bodo pomagali razjasniti, s čim se v zadnjem času pogosto soočajo rakave bolnice.	dejavniki vpraša Zdravnik, v čem je bila težava	bolnice vpraša času, kaj se je zgodilo srečanje z času v bolnišnici.	neutral
V mesecu marcu smo na Festivalu Ljubljana pripravili številne zanimive dogodke, ki bodo popestrili dogajanje na Ljubljanskem gradu.	Ko se zimsko obdobje konča, se v glavnem mestu ne dogaja čisto nič zanimivega za popestritev našega vsakdana.	osebek pokaže Festivalu nekaj zanimivo	zanimivega je res dolgčas ničesar za početi doma	contradiction
Zato bo razstava v Narodni galeriji prvi poizkus geografsko in časovno zaokrožene opredelitve oz. predstavitve poznobaročnega slikarstva v osrednji Sloveniji.	Prvič bo na ogled časovno in geografsko zaokrožen pregled razvoja poznobaročnega slikarstva na Slovenskem, in sicer v Narodni galeriji v Ljubljani.	razstava ni nikoli poskusila pozno	pregled nikoli ne vidi ogled sam	entailment
Vso prvo polovico meseca boste čutili, da ima nekako vse nežen pridih, crkljanje boste pogrešali v vsakem trenutku.	V prvi polovici prvega tedna v mesecu boste na vsakem koraku začutili nežnost, želeli se boste pocrkljati.	osebek se počuti izgubljeno nič	PersonX ljubi vsako minuto prizadevati si za nekaj	neutral
Veter in sonce škodita tudi ustnicam, da postanejo suhe in razpokane.	Veter in sonce nimata nikakršnega vpliva na naše ustnice.	Veter usta postanejo suha	Veter pred soncem ne oslepijo.	contradiction
Nato ga tesno zvijemo v zvitek in položimo v namaščen pekač.	Žepke drugega poleg drugega položimo na suh pekač, da se med peko ne sprimejo.	osebek položi pekač v kozarec za tesno zapiranje kozarca	osebek postavi piškotke v pečico postati pek.	contradiction
»Ne boš me pretentala!« je neizprosno brenčala muha.	Muha je nesramno navrgla komarjevki, da se tokrat ne bo dala prevarati.	muha nikoli ne dobi prestrašen	Muha se je nehote spotaknila da se ne bi več spotaknili. da se ne bi več spotaknili.	neutral
S pomočjo le te bomo lahko izvedeli odgovore na vsa vprašanja, ki se pojavljajo.V medijih smo lahko zadnje mesece zasledili ogromno perečih vprašanj na temo izgradnje bloka 6 v Termoelektrarni Šoštanj.	V mestu v Šaleški dolini potekajo priprave na gradnjo šestega bloka termoelektrarne. Kot vse gradnje tudi ta ne poteka čisto gladko, kar pomeni da veliko ljudi dvomi o čistih namenih glavnih pri projektu.	PersonX študira več tednov poznati odgovore na test.	PersonX gradi grad iz peska pripravite diagram zasnove	neutral
(1) Pravna oseba oziroma organ, pri katerem se opravlja nadzor (v nadaljnjem besedilu: pravna oseba) mora zagotoviti pooblaščenemu delavcu pogoje, ki mu omogočajo nemoteno delo.	Delodajalec oziroma njegova odgovorna oseba mora inšpektorju zagotoviti nemoteno opravljanje inšpekcijskega nadzorstva.	oseba povzroči drugo delodajalec lahko izgubi delavca, ki je aretiran zaradi storitve kaznivega dejanja.	Delodajalec je šef v podjetju predmet pozorno spremljati delo predmet.	entailment
Ko se ličinka v jajčecu razvije, odrine čepek, prileze ven in poišče hrano.	Da ličinka pride iz jajčeca in si priskrbi hrano, mora biti prej popolnoma razvita in mora tudi odriniti čepek.	PersonX prežveči meso in izpljune kosti da bi dobili hrano.	PersonX prežveči meso in izpljune kosti da bi dobili hrano.	entailment
V zasaditev so vključeni še rumeni tulipani, pisanolistni šaš, modre hrušice in belo cvetoč grm medvejke (Spiraea arguta).	V zasaditvi ne najdemo tulipanov v rumeni barv, šaša z značilnimi pisanimi listi, modre hrušice ali grma medvejke z belimi cvetovi (Spiraea arguta).	tulipani nadaljuje delo zasaditev vključeni	osebek nikoli več ne vidijo najti mir	contradiction
Jaz zgoraj, ampak si narediva tako, da je vedno dobro.	Zgoraj jaz, čeprav sva le redko zadovoljna s tem, kako si to urediva.	Jaz da bi še naprej delali dobro.	osebek je najbolj všeč tem veseli, da ste to storili pravilno.	contradiction
Iz Elektro Ljubljana so sporočili, da nadaljujejo sanacijo transformatorskih postaj in nizkonapetostnega omrežja.	Elektro Ljubljana skrbi za pretočnost električne energije ne samo v ljubljanskem območju, temveč posledično po celi Sloveniji.	osebek pokliče električno podjetje za ponovno vklop električne energije	Elektro Vodovodno podjetje vzdržuje delujoč vodovodni priključek na domu Elektro.	neutral
Ugotavljam, da je 1. člen s tem tudi sprejet.	Vidimo lahko, da smo začetni člen sprejeli že v okviru tega.	člen je sprejela tudi vsebina	osebek upošteva sprejeti sklep. iz točke	entailment
Madžari petih minut prednosti niso izkoristili; slovenski vratar Kristan ni imel veliko dela, v celotni tretjini je moral posredovati le dvakrat.	Madžarski hokejisti je kljub petim minutam prednosti niso zagodli Slovencem, golman Kristan namreč ni bil preveč zaposlen, saj mu ni bilo treba braniti veliko napadov.	vratar potrebuje se ne ozirajo na čas. dvajset minut	PersonX nikoli ni delal delati veliko ur.	entailment
Bolečine uspešno lajšajo tudi zdravila na bazi kalcijevih in magnezijevih soli.	Magnezijeve in kalcijeve soli v zdravilih zavirajo občutke blaženja bolečine.	zdravila boli grlo kupiti zdravila in pastilke za lajšanje bolečin v grlu.	soli boli grlo kupiti zdravila in pastilke za lajšanje bolečin v grlu.	contradiction
